sequence,block,speaker,set,order,trial,character,char_order,type,predicate
3b,2,amy,2,1,18,cars,9,test,can get hungry
3b,2,amy,2,1,19,staplers,10,catch_serious,can be made out of metal
3b,2,amy,2,1,20,bugs,6,test,can think
4a,1,amy,4,2,1,babies,3,test,have feelings
4a,1,amy,4,2,2,dogs,4,catch_silly,have pointy horns
4a,1,amy,4,2,3,robots,7,test,have feelings
4a,1,amy,4,2,4,bears,5,test,can think
4a,1,amy,4,2,5,bugs,6,test,have feelings
4a,1,amy,4,2,6,kids,2,catch_silly,have purple teeth
4a,1,amy,4,2,7,grownups,1,test,can get hungry
4a,1,amy,4,2,8,computers,8,catch_serious,have lots of buttons
4a,1,amy,4,2,9,staplers,10,test,can get hungry
4a,1,amy,4,2,10,cars,9,test,can think
4a,2,cassie,1,1,11,dogs,4,test,can think
4a,2,cassie,1,1,12,staplers,10,test,have feelings
4a,2,cassie,1,1,13,bugs,6,catch_silly,have fluffy feathers
4a,2,cassie,1,1,14,grownups,1,test,can think
4a,2,cassie,1,1,15,robots,7,test,can get hungry
4a,2,cassie,1,1,16,cars,9,catch_serious,have wheels
4a,2,cassie,1,1,17,babies,3,test,can get hungry
4a,2,cassie,1,1,18,bears,5,catch_silly,have eight legs
4a,2,cassie,1,1,19,computers,8,test,can think
4a,2,cassie,1,1,20,kids,2,test,have feelings
4b,1,cassie,2,2,1,grownups,1,catch_silly,have three eyeballs
4b,1,cassie,2,2,2,babies,3,test,can think
4b,1,cassie,2,2,3,bears,5,test,can get hungry
4b,1,cassie,2,2,4,staplers,10,catch_serious,can be made out of metal
4b,1,cassie,2,2,5,dogs,4,test,have feelings
4b,1,cassie,2,2,6,cars,9,test,can get hungry
4b,1,cassie,2,2,7,bugs,6,test,can think
4b,1,cassie,2,2,8,computers,8,test,have feelings
4b,1,cassie,2,2,9,robots,7,test,can think
4b,1,cassie,2,2,10,kids,2,test,can get hungry
4b,2,amy,3,1,11,computers,8,test,can get hungry
4b,2,amy,3,1,12,staplers,10,test,can think
4b,2,amy,3,1,13,cars,9,test,have feelings
4b,2,amy,3,1,14,bugs,6,test,can get hungry
4b,2,amy,3,1,15,bears,5,test,have feelings
4b,2,amy,3,1,16,babies,3,catch_silly,have wings
4b,2,amy,3,1,17,dogs,4,test,can get hungry
4b,2,amy,3,1,18,kids,2,test,can think
4b,2,amy,3,1,19,grownups,1,test,have feelings
4b,2,amy,3,1,20,robots,7,catch_serious,can have arms
